event	count
fec.capability_view	83
fec.commit	83
f3e.execute	83
fec.open_session	83
engine.evaluate_cell_via_f3e	77
engine.recalculate_full	50
fec.install_plan	37
f3e.prepare	36
engine.set_formula	34
engine.recalculate_incremental	30
engine.evaluate_name_via_f3e	6
engine.set_name_formula	2
engine.incremental_spill_fallback	1
